x1_i    y_rung     y_mnk
-1.0    0.2    0.210817
-0.9    0.13115    0.131705
-0.8    0.066417    0.060907
-0.7    0.006456    -0.001577
-0.6    -0.048    -0.055747
-0.5    -0.09615    -0.101604
-0.4    -0.13715    -0.139146
-0.3    -0.170152    -0.168374
-0.2    -0.194374    -0.189288
-0.1    -0.20918    -0.201888
0.0    -0.21416    -0.206174
0.1    -0.20919    -0.202146
0.2    -0.194446    -0.189804
0.3    -0.170379    -0.169148
0.4    -0.137639    -0.140178
0.5    -0.097001    -0.102894
0.6    -0.049286    -0.057297
0.7    0.004698    -0.003385
0.8    0.064186    0.058841
0.9    0.12848    0.129381
1.0    0.196954    0.208235
